epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9509,1.16856,3.23867,1.44178,0.00362,1,0.35415,0.28801,0.7854,3.32252,1.18255,0.000439692,0.000439692,0.000439692
2,104.512,0.90943,2.49508,1.18888,0.00353,1,0.51737,0.41611,0.67156,2.99314,1.12101,0.000900911,0.000900911,0.000900911
3,146.225,0.87077,2.09523,1.16152,0.58218,0.27381,0.31688,0.19937,0.82054,3.16302,1.2721,0.00134641,0.00134641,0.00134641
4,196.81,0.79485,2.02975,1.11483,0.57382,0.16156,0.46093,0.3389,0.8608,2.86361,1.2601,0.00135826,0.00135826,0.00135826
5,245.856,0.85494,1.90461,1.17894,0.683,0.42351,0.47248,0.33845,0.87207,2.53436,1.386,0.00133469,0.00133469,0.00133469
6,298.867,0.80724,1.96362,1.13038,0.64917,0.42857,0.4074,0.30935,1.12404,2.84498,1.66775,0.00131111,0.00131111,0.00131111
7,349.716,0.80065,1.92083,1.15066,0.27306,0.30952,0.26503,0.16869,1.62185,4.02908,2.29262,0.00128753,0.00128753,0.00128753
8,401.068,0.74179,1.71925,1.07187,0.84864,0.26786,0.47729,0.25743,1.2712,3.14699,1.6146,0.00126395,0.00126395,0.00126395
9,444.838,0.70859,1.5813,1.075,0.60515,0.51078,0.49088,0.28655,1.28616,2.9846,1.53915,0.00124037,0.00124037,0.00124037
10,480.854,0.71502,1.56622,1.04575,0.83479,0.74117,0.83261,0.50895,1.15673,2.08118,1.55144,0.00121679,0.00121679,0.00121679
11,516.877,0.7127,1.4728,1.03009,0.66021,0.80051,0.81543,0.48613,0.95928,2.29111,1.30266,0.00119322,0.00119322,0.00119322
12,556.86,0.75586,1.53472,1.03453,0.65013,0.87626,0.84302,0.58055,0.87,2.32648,1.18421,0.00116964,0.00116964,0.00116964
13,595.33,0.71044,1.45974,1.02079,0.87529,0.7381,0.80218,0.62321,0.99841,1.90313,1.28508,0.00114606,0.00114606,0.00114606
14,633.493,0.71794,1.50534,1.05628,0.83176,0.66957,0.76048,0.58268,0.951,1.93714,1.31929,0.00112248,0.00112248,0.00112248
15,671.805,0.69107,1.37949,1.01047,0.69808,0.7026,0.83036,0.66129,0.83133,1.92691,1.20258,0.0010989,0.0010989,0.0010989
16,710.259,0.63007,1.35747,1.01547,0.66589,0.79538,0.85855,0.68506,0.92408,1.8404,1.262,0.00107532,0.00107532,0.00107532
17,748.3,0.63453,1.28108,0.98296,0.68532,0.73922,0.83109,0.68498,0.81195,1.68332,1.15676,0.00105174,0.00105174,0.00105174
18,787.326,0.65877,1.21579,0.98686,0.85209,0.6657,0.79343,0.6271,0.82209,1.9715,1.20394,0.00102817,0.00102817,0.00102817
19,825.58,0.55965,1.16703,0.95531,0.66586,0.68766,0.7352,0.58356,0.8339,1.99019,1.32566,0.00100459,0.00100459,0.00100459
