epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1262.54,0.42533,0.89134,0.90254,0.85155,0.77542,0.85247,0.74603,0.65559,1.20484,1.10305,0.000462281,0.000462281,0.000462281
43,1290.85,0.44996,0.88089,0.92219,0.85056,0.81675,0.86029,0.76767,0.63591,1.2548,1.10055,0.000438703,0.000438703,0.000438703
44,1318.82,0.41614,0.90683,0.92756,0.83187,0.7996,0.84769,0.77239,0.61025,1.32626,1.08967,0.000415124,0.000415124,0.000415124
45,1345.35,0.41342,0.84075,0.93473,0.81427,0.80374,0.84575,0.76986,0.60817,1.2576,1.08732,0.000391546,0.000391546,0.000391546
46,1370.35,0.42576,0.91303,0.90725,0.81304,0.80344,0.84593,0.75105,0.59242,1.16392,1.07945,0.000367967,0.000367967,0.000367967
47,1397.25,0.39884,0.84506,0.91665,0.83616,0.79378,0.85602,0.75701,0.57496,1.09898,1.06639,0.000344389,0.000344389,0.000344389
48,1423.87,0.38421,0.82115,0.90191,0.84648,0.80812,0.86083,0.76892,0.55943,1.03342,1.05609,0.00032081,0.00032081,0.00032081
49,1449.53,0.39906,0.80795,0.9108,0.93409,0.78625,0.86996,0.78336,0.5385,0.97941,1.04034,0.000297232,0.000297232,0.000297232
50,1475.58,0.35222,0.78015,0.88912,0.85642,0.8073,0.86527,0.77875,0.53429,0.98555,1.04019,0.000273654,0.000273654,0.000273654
51,1502.82,0.37421,1.18091,0.8934,0.86392,0.80756,0.84567,0.77209,0.52793,1.01899,1.04928,0.000250075,0.000250075,0.000250075
52,1529.53,0.39509,1.13263,0.91952,0.85365,0.77329,0.8238,0.74395,0.54493,1.06963,1.06552,0.000226497,0.000226497,0.000226497
53,1556.84,0.37911,1.08019,0.87322,0.82814,0.74059,0.80731,0.70751,0.57362,1.16295,1.0922,0.000202918,0.000202918,0.000202918
54,1583.29,0.40252,1.15196,0.87845,0.78708,0.79545,0.80371,0.71025,0.60214,1.22767,1.1098,0.00017934,0.00017934,0.00017934
55,1607.79,0.34524,1.09595,0.88076,0.77147,0.8081,0.80131,0.7084,0.62728,1.2619,1.12804,0.000155761,0.000155761,0.000155761
56,1632.1,0.34648,1.10997,0.84572,0.88531,0.74575,0.82389,0.71558,0.62456,1.23774,1.13083,0.000132183,0.000132183,0.000132183
57,1656.32,0.35174,1.1015,0.85051,0.88709,0.80748,0.81476,0.70308,0.6409,1.14602,1.14902,0.000108604,0.000108604,0.000108604
58,1680.67,0.37538,1.0683,0.86748,0.89274,0.81332,0.81484,0.7037,0.64951,1.11819,1.15478,8.50255e-05,8.50255e-05,8.50255e-05
59,1704.29,0.33848,1.07407,0.83691,0.88651,0.81349,0.81485,0.70373,0.6531,1.10786,1.15819,6.1447e-05,6.1447e-05,6.1447e-05
60,1728.7,0.32652,1.05129,0.88574,0.83267,0.8501,0.81873,0.70557,0.65497,1.09798,1.1619,3.78685e-05,3.78685e-05,3.78685e-05
